Course ID,Course Title,Participated,Completed,Targeted,Targeted Completed,InProgress,Completion %
L101,Accessibility 101,150000,140000,160000,145000,6000,93.3
L102,Cloud Fundamentals,128000,101000,140000,108000,18000,78.9
L103,Security Essentials,94000,89000,100000,91000,4000,94.7
L104,Data Analytics Basics,87000,65000,90000,68000,17000,74.7
L105,AI Foundations,172000,124000,180000,130000,42000,72.1
L106,Modern Sales,63000,52000,70000,55000,9000,82.5
L107,Project Management,55000,51000,60000,53000,3000,92.7
L108,Power Platform,112000,84000,120000,90000,25000,75.0
L109,Leadership Essentials,43000,39000,45000,40000,3000,90.7
L110,Developer Productivity,99000,73000,110000,79000,21000,73.7
